2024-04-08 20:16:27 startup archives unpack
2024-04-08 20:16:27 install perl-modules-5.36:all <none> 5.36.0-7+deb12u1
2024-04-08 20:16:27 status half-installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-04-08 20:16:28 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-04-08 20:16:28 install libgdbm6:amd64 <none> 1.23-3
2024-04-08 20:16:28 status triggers-pending libc-bin:amd64 2.36-9+deb12u4
2024-04-08 20:16:28 status half-installed libgdbm6:amd64 1.23-3
2024-04-08 20:16:28 status unpacked libgdbm6:amd64 1.23-3
2024-04-08 20:16:28 install libgdbm-compat4:amd64 <none> 1.23-3
2024-04-08 20:16:28 status half-installed libgdbm-compat4:amd64 1.23-3
2024-04-08 20:16:28 status unpacked libgdbm-compat4:amd64 1.23-3
2024-04-08 20:16:28 install libperl5.36:amd64 <none> 5.36.0-7+deb12u1
2024-04-08 20:16:28 status half-installed libperl5.36:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:29 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:29 install perl:amd64 <none> 5.36.0-7+deb12u1
2024-04-08 20:16:29 status half-installed perl:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:29 status unpacked perl:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:29 install libalgorithm-c3-perl:all <none> 0.11-2
2024-04-08 20:16:29 status half-installed libalgorithm-c3-perl:all 0.11-2
2024-04-08 20:16:29 status unpacked libalgorithm-c3-perl:all 0.11-2
2024-04-08 20:16:29 install libb-hooks-op-check-perl:amd64 <none> 0.22-2+b1
2024-04-08 20:16:29 status half-installed libb-hooks-op-check-perl:amd64 0.22-2+b1
2024-04-08 20:16:29 status unpacked libb-hooks-op-check-perl:amd64 0.22-2+b1
2024-04-08 20:16:29 install libdynaloader-functions-perl:all <none> 0.003-3
2024-04-08 20:16:29 status half-installed libdynaloader-functions-perl:all 0.003-3
2024-04-08 20:16:29 status unpacked libdynaloader-functions-perl:all 0.003-3
2024-04-08 20:16:30 install libdevel-callchecker-perl:amd64 <none> 0.008-2
2024-04-08 20:16:30 status half-installed libdevel-callchecker-perl:amd64 0.008-2
2024-04-08 20:16:30 status unpacked libdevel-callchecker-perl:amd64 0.008-2
2024-04-08 20:16:30 install libparams-classify-perl:amd64 <none> 0.015-2+b1
2024-04-08 20:16:30 status half-installed libparams-classify-perl:amd64 0.015-2+b1
2024-04-08 20:16:30 status unpacked libparams-classify-perl:amd64 0.015-2+b1
2024-04-08 20:16:30 install libmodule-runtime-perl:all <none> 0.016-2
2024-04-08 20:16:30 status half-installed libmodule-runtime-perl:all 0.016-2
2024-04-08 20:16:30 status unpacked libmodule-runtime-perl:all 0.016-2
2024-04-08 20:16:30 install libtry-tiny-perl:all <none> 0.31-2
2024-04-08 20:16:30 status half-installed libtry-tiny-perl:all 0.31-2
2024-04-08 20:16:30 status unpacked libtry-tiny-perl:all 0.31-2
2024-04-08 20:16:30 install libmodule-implementation-perl:all <none> 0.09-2
2024-04-08 20:16:30 status half-installed libmodule-implementation-perl:all 0.09-2
2024-04-08 20:16:30 status unpacked libmodule-implementation-perl:all 0.09-2
2024-04-08 20:16:30 install libsub-exporter-progressive-perl:all <none> 0.001013-3
2024-04-08 20:16:30 status half-installed libsub-exporter-progressive-perl:all 0.001013-3
2024-04-08 20:16:30 status unpacked libsub-exporter-progressive-perl:all 0.001013-3
2024-04-08 20:16:31 install libvariable-magic-perl:amd64 <none> 0.63-1+b1
2024-04-08 20:16:31 status half-installed libvariable-magic-perl:amd64 0.63-1+b1
2024-04-08 20:16:31 status unpacked libvariable-magic-perl:amd64 0.63-1+b1
2024-04-08 20:16:31 install libb-hooks-endofscope-perl:all <none> 0.26-1
2024-04-08 20:16:31 status half-installed libb-hooks-endofscope-perl:all 0.26-1
2024-04-08 20:16:31 status unpacked libb-hooks-endofscope-perl:all 0.26-1
2024-04-08 20:16:31 install libclass-c3-perl:all <none> 0.35-2
2024-04-08 20:16:31 status half-installed libclass-c3-perl:all 0.35-2
2024-04-08 20:16:31 status unpacked libclass-c3-perl:all 0.35-2
2024-04-08 20:16:31 install libclass-data-inheritable-perl:all <none> 0.08-3
2024-04-08 20:16:31 status half-installed libclass-data-inheritable-perl:all 0.08-3
2024-04-08 20:16:31 status unpacked libclass-data-inheritable-perl:all 0.08-3
2024-04-08 20:16:31 install libclass-inspector-perl:all <none> 1.36-3
2024-04-08 20:16:31 status half-installed libclass-inspector-perl:all 1.36-3
2024-04-08 20:16:31 status unpacked libclass-inspector-perl:all 1.36-3
2024-04-08 20:16:31 install libclass-method-modifiers-perl:all <none> 2.14-1
2024-04-08 20:16:31 status half-installed libclass-method-modifiers-perl:all 2.14-1
2024-04-08 20:16:32 status unpacked libclass-method-modifiers-perl:all 2.14-1
2024-04-08 20:16:32 install libclass-singleton-perl:all <none> 1.6-2
2024-04-08 20:16:32 status half-installed libclass-singleton-perl:all 1.6-2
2024-04-08 20:16:32 status unpacked libclass-singleton-perl:all 1.6-2
2024-04-08 20:16:32 install libparams-util-perl:amd64 <none> 1.102-2+b1
2024-04-08 20:16:32 status half-installed libparams-util-perl:amd64 1.102-2+b1
2024-04-08 20:16:32 status unpacked libparams-util-perl:amd64 1.102-2+b1
2024-04-08 20:16:32 install libsub-install-perl:all <none> 0.929-1
2024-04-08 20:16:32 status half-installed libsub-install-perl:all 0.929-1
2024-04-08 20:16:32 status unpacked libsub-install-perl:all 0.929-1
2024-04-08 20:16:32 install libdata-optlist-perl:all <none> 0.113-1
2024-04-08 20:16:32 status half-installed libdata-optlist-perl:all 0.113-1
2024-04-08 20:16:32 status unpacked libdata-optlist-perl:all 0.113-1
2024-04-08 20:16:32 install libfile-sharedir-perl:all <none> 1.118-3
2024-04-08 20:16:32 status half-installed libfile-sharedir-perl:all 1.118-3
2024-04-08 20:16:32 status unpacked libfile-sharedir-perl:all 1.118-3
2024-04-08 20:16:32 install libpackage-stash-perl:all <none> 0.40-1
2024-04-08 20:16:32 status half-installed libpackage-stash-perl:all 0.40-1
2024-04-08 20:16:33 status unpacked libpackage-stash-perl:all 0.40-1
2024-04-08 20:16:33 install libsub-identify-perl:amd64 <none> 0.14-3
2024-04-08 20:16:33 status half-installed libsub-identify-perl:amd64 0.14-3
2024-04-08 20:16:33 status unpacked libsub-identify-perl:amd64 0.14-3
2024-04-08 20:16:33 install libsub-name-perl:amd64 <none> 0.26-2+b1
2024-04-08 20:16:33 status half-installed libsub-name-perl:amd64 0.26-2+b1
2024-04-08 20:16:33 status unpacked libsub-name-perl:amd64 0.26-2+b1
2024-04-08 20:16:33 install libnamespace-clean-perl:all <none> 0.27-2
2024-04-08 20:16:33 status half-installed libnamespace-clean-perl:all 0.27-2
2024-04-08 20:16:33 status unpacked libnamespace-clean-perl:all 0.27-2
2024-04-08 20:16:33 install libnamespace-autoclean-perl:all <none> 0.29-2
2024-04-08 20:16:33 status half-installed libnamespace-autoclean-perl:all 0.29-2
2024-04-08 20:16:33 status unpacked libnamespace-autoclean-perl:all 0.29-2
2024-04-08 20:16:33 install libsub-exporter-perl:all <none> 0.989-1
2024-04-08 20:16:33 status half-installed libsub-exporter-perl:all 0.989-1
2024-04-08 20:16:33 status unpacked libsub-exporter-perl:all 0.989-1
2024-04-08 20:16:33 install libeval-closure-perl:all <none> 0.14-3
2024-04-08 20:16:33 status half-installed libeval-closure-perl:all 0.14-3
2024-04-08 20:16:33 status unpacked libeval-closure-perl:all 0.14-3
2024-04-08 20:16:34 install libdevel-stacktrace-perl:all <none> 2.0400-2
2024-04-08 20:16:34 status half-installed libdevel-stacktrace-perl:all 2.0400-2
2024-04-08 20:16:34 status unpacked libdevel-stacktrace-perl:all 2.0400-2
2024-04-08 20:16:34 install libexception-class-perl:all <none> 1.45-1
2024-04-08 20:16:34 status half-installed libexception-class-perl:all 1.45-1
2024-04-08 20:16:34 status unpacked libexception-class-perl:all 1.45-1
2024-04-08 20:16:34 install libparams-validationcompiler-perl:all <none> 0.31-1
2024-04-08 20:16:34 status half-installed libparams-validationcompiler-perl:all 0.31-1
2024-04-08 20:16:34 status unpacked libparams-validationcompiler-perl:all 0.31-1
2024-04-08 20:16:34 install libmro-compat-perl:all <none> 0.15-2
2024-04-08 20:16:34 status half-installed libmro-compat-perl:all 0.15-2
2024-04-08 20:16:34 status unpacked libmro-compat-perl:all 0.15-2
2024-04-08 20:16:34 install librole-tiny-perl:all <none> 2.002004-1
2024-04-08 20:16:34 status half-installed librole-tiny-perl:all 2.002004-1
2024-04-08 20:16:34 status unpacked librole-tiny-perl:all 2.002004-1
2024-04-08 20:16:34 install libsub-quote-perl:all <none> 2.006008-1
2024-04-08 20:16:34 status half-installed libsub-quote-perl:all 2.006008-1
2024-04-08 20:16:35 status unpacked libsub-quote-perl:all 2.006008-1
2024-04-08 20:16:35 install libxstring-perl:amd64 <none> 0.005-2+b1
2024-04-08 20:16:35 status half-installed libxstring-perl:amd64 0.005-2+b1
2024-04-08 20:16:35 status unpacked libxstring-perl:amd64 0.005-2+b1
2024-04-08 20:16:35 install libspecio-perl:all <none> 0.48-1
2024-04-08 20:16:35 status half-installed libspecio-perl:all 0.48-1
2024-04-08 20:16:35 status unpacked libspecio-perl:all 0.48-1
2024-04-08 20:16:35 install libdatetime-locale-perl:all <none> 1:1.37-1
2024-04-08 20:16:35 status half-installed libdatetime-locale-perl:all 1:1.37-1
2024-04-08 20:16:36 status unpacked libdatetime-locale-perl:all 1:1.37-1
2024-04-08 20:16:36 install libdatetime-timezone-perl:all <none> 1:2.60-1+2024a
2024-04-08 20:16:36 status half-installed libdatetime-timezone-perl:all 1:2.60-1+2024a
2024-04-08 20:16:36 status unpacked libdatetime-timezone-perl:all 1:2.60-1+2024a
2024-04-08 20:16:36 install libdatetime-perl:amd64 <none> 2:1.59-1
2024-04-08 20:16:36 status half-installed libdatetime-perl:amd64 2:1.59-1
2024-04-08 20:16:36 status unpacked libdatetime-perl:amd64 2:1.59-1
2024-04-08 20:16:36 startup packages configure
2024-04-08 20:16:36 configure perl-modules-5.36:all 5.36.0-7+deb12u1 <none>
2024-04-08 20:16:36 status unpacked perl-modules-5.36:all 5.36.0-7+deb12u1
2024-04-08 20:16:36 status half-configured perl-modules-5.36:all 5.36.0-7+deb12u1
2024-04-08 20:16:36 status installed perl-modules-5.36:all 5.36.0-7+deb12u1
2024-04-08 20:16:37 configure libgdbm6:amd64 1.23-3 <none>
2024-04-08 20:16:37 status unpacked libgdbm6:amd64 1.23-3
2024-04-08 20:16:37 status half-configured libgdbm6:amd64 1.23-3
2024-04-08 20:16:37 status installed libgdbm6:amd64 1.23-3
2024-04-08 20:16:37 configure libgdbm-compat4:amd64 1.23-3 <none>
2024-04-08 20:16:37 status unpacked libgdbm-compat4:amd64 1.23-3
2024-04-08 20:16:37 status half-configured libgdbm-compat4:amd64 1.23-3
2024-04-08 20:16:37 status installed libgdbm-compat4:amd64 1.23-3
2024-04-08 20:16:37 configure libperl5.36:amd64 5.36.0-7+deb12u1 <none>
2024-04-08 20:16:37 status unpacked libperl5.36:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 status half-configured libperl5.36:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 status installed libperl5.36:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 configure perl:amd64 5.36.0-7+deb12u1 <none>
2024-04-08 20:16:37 status unpacked perl:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 status half-configured perl:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 status installed perl:amd64 5.36.0-7+deb12u1
2024-04-08 20:16:37 configure libclass-data-inheritable-perl:all 0.08-3 <none>
2024-04-08 20:16:37 status unpacked libclass-data-inheritable-perl:all 0.08-3
2024-04-08 20:16:37 status half-configured libclass-data-inheritable-perl:all 0.08-3
2024-04-08 20:16:37 status installed libclass-data-inheritable-perl:all 0.08-3
2024-04-08 20:16:37 configure libalgorithm-c3-perl:all 0.11-2 <none>
2024-04-08 20:16:37 status unpacked libalgorithm-c3-perl:all 0.11-2
2024-04-08 20:16:37 status half-configured libalgorithm-c3-perl:all 0.11-2
2024-04-08 20:16:37 status installed libalgorithm-c3-perl:all 0.11-2
2024-04-08 20:16:37 configure libvariable-magic-perl:amd64 0.63-1+b1 <none>
2024-04-08 20:16:37 status unpacked libvariable-magic-perl:amd64 0.63-1+b1
2024-04-08 20:16:37 status half-configured libvariable-magic-perl:amd64 0.63-1+b1
2024-04-08 20:16:37 status installed libvariable-magic-perl:amd64 0.63-1+b1
2024-04-08 20:16:37 configure libb-hooks-op-check-perl:amd64 0.22-2+b1 <none>
2024-04-08 20:16:37 status unpacked libb-hooks-op-check-perl:amd64 0.22-2+b1
2024-04-08 20:16:37 status half-configured libb-hooks-op-check-perl:amd64 0.22-2+b1
2024-04-08 20:16:37 status installed libb-hooks-op-check-perl:amd64 0.22-2+b1
2024-04-08 20:16:37 configure libparams-util-perl:amd64 1.102-2+b1 <none>
2024-04-08 20:16:37 status unpacked libparams-util-perl:amd64 1.102-2+b1
2024-04-08 20:16:37 status half-configured libparams-util-perl:amd64 1.102-2+b1
2024-04-08 20:16:37 status installed libparams-util-perl:amd64 1.102-2+b1
2024-04-08 20:16:37 configure libsub-exporter-progressive-perl:all 0.001013-3 <none>
2024-04-08 20:16:37 status unpacked libsub-exporter-progressive-perl:all 0.001013-3
2024-04-08 20:16:37 status half-configured libsub-exporter-progressive-perl:all 0.001013-3
2024-04-08 20:16:37 status installed libsub-exporter-progressive-perl:all 0.001013-3
2024-04-08 20:16:37 configure libsub-name-perl:amd64 0.26-2+b1 <none>
2024-04-08 20:16:37 status unpacked libsub-name-perl:amd64 0.26-2+b1
2024-04-08 20:16:37 status half-configured libsub-name-perl:amd64 0.26-2+b1
2024-04-08 20:16:37 status installed libsub-name-perl:amd64 0.26-2+b1
2024-04-08 20:16:37 configure libsub-quote-perl:all 2.006008-1 <none>
2024-04-08 20:16:37 status unpacked libsub-quote-perl:all 2.006008-1
2024-04-08 20:16:37 status half-configured libsub-quote-perl:all 2.006008-1
2024-04-08 20:16:37 status installed libsub-quote-perl:all 2.006008-1
2024-04-08 20:16:37 configure libdevel-stacktrace-perl:all 2.0400-2 <none>
2024-04-08 20:16:37 status unpacked libdevel-stacktrace-perl:all 2.0400-2
2024-04-08 20:16:37 status half-configured libdevel-stacktrace-perl:all 2.0400-2
2024-04-08 20:16:38 status installed libdevel-stacktrace-perl:all 2.0400-2
2024-04-08 20:16:38 configure libclass-inspector-perl:all 1.36-3 <none>
2024-04-08 20:16:38 status unpacked libclass-inspector-perl:all 1.36-3
2024-04-08 20:16:38 status half-configured libclass-inspector-perl:all 1.36-3
2024-04-08 20:16:38 status installed libclass-inspector-perl:all 1.36-3
2024-04-08 20:16:38 configure libdynaloader-functions-perl:all 0.003-3 <none>
2024-04-08 20:16:38 status unpacked libdynaloader-functions-perl:all 0.003-3
2024-04-08 20:16:38 status half-configured libdynaloader-functions-perl:all 0.003-3
2024-04-08 20:16:38 status installed libdynaloader-functions-perl:all 0.003-3
2024-04-08 20:16:38 configure libclass-method-modifiers-perl:all 2.14-1 <none>
2024-04-08 20:16:38 status unpacked libclass-method-modifiers-perl:all 2.14-1
2024-04-08 20:16:38 status half-configured libclass-method-modifiers-perl:all 2.14-1
2024-04-08 20:16:38 status installed libclass-method-modifiers-perl:all 2.14-1
2024-04-08 20:16:38 configure libsub-identify-perl:amd64 0.14-3 <none>
2024-04-08 20:16:38 status unpacked libsub-identify-perl:amd64 0.14-3
